barcode_hashed,age_days,full_cap_min,pct_lvl_max,min_dchrg_fcc,dchrg_diff,EBL,total_chrg_cnt,cnt_USB_chrg,shtdn_total,btlow_total,call_drop_sum,call_tot_mins,calls_tot,msgs_tot,pics_tot,sst_poor_time_ratio,ratio_3G,ratio_4G,ratio_5G,wifi_hrs,wifi_connections,mobile_rx_MB,mobile_tx_MB,son_hrs,primary_mem_free_MB,bt_conns,CRASH_total,full_cap_min_ratio,pct_lvl_max_ratio,min_dchrg_fcc_ratio,dchrg_diff_ratio,EBL_ratio,total_chrg_cnt_ratio,cnt_USB_chrg_ratio,shtdn_total_ratio,btlow_total_ratio,call_drop_sum_ratio,call_tot_mins_ratio,calls_tot_ratio,msgs_tot_ratio,pics_tot_ratio,sst_poor_time_ratio_ratio,ratio_3G_ratio,ratio_4G_ratio,ratio_5G_ratio,wifi_hrs_ratio,wifi_connections_ratio,mobile_rx_MB_ratio,mobile_tx_MB_ratio,son_hrs_ratio,primary_mem_free_MB_ratio,bt_conns_ratio,CRASH_total_ratio
b926676dccc67406700c4c57cf055b3df237fc0ab286f6a46289bafd9d948065,1516,3644678.5,94.75,0.0,125.25,14.5,3.0,0.0,0.75,1.25,0.25,3.75,34.25,211.25,60.5,6.16,6.18,93.81,0.0,16.25,7.0,171.25,11.25,4.25,4542.0,5.0,17.75,1.2203,1.0053,0.0,0.9881,1.0714,1.0,0.0,2.0,1.5,0.0,0.6667,0.9855,0.8172,1.1607,1.2178,1.0447,0.9969,0.0,0.9118,1.0,1.9149,1.25,0.8889,0.7617,0.1111,1.5357
7a2e95793e69ff2704030353bf27fc1ad13916d0370a25b115b12779720f08cb,309,4744.0,96.75,5000.0,74.25,17.5,4.0,0.0,0.0,2.75,0.0,1.0,4.5,52.25,10.5,1.315,5.805,93.94,0.0,23.0,7.25,238.0,22.0,6.5,54590.75,4.5,1.5,1.0219,1.0052,1.0,1.0204,1.0,1.2857,0.0,0.0,1.75,0.0,0.3333,2.6,2.1667,2.2308,0.6386,0.8327,1.0135,0.0,0.9574,2.625,7.6545,13.6667,1.0,1.2185,0.5,1.0
938897a9982050704df677787e41581a8cc9335d19b73582ebf0b3c23f7d1fd9,1186,-1.0,60.0,5000.0,14.0,207.0,1.5,0.0,0.0,0.75,0.0,0.0,1.0,8.0,18.25,14.3175,0.0,0.0,0.0,50.25,1.75,0.0,0.0,0.25,621.5,7.75,2.0,1.0,0.9672,1.0,1.5455,1.134,2.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5208,0.2981,0.0,0.0,0.0,0.4357,0.75,0.0,0.0,0.0,9.8087,0.0,1.0
6e878b24ff6ff1f6ffe4dc86f6095608800e1fce9a9c4be47fdb41d5f3894994,135,-1.0,90.75,-1.0,54.0,39.5,1.5,0.25,0.5,1.5,0.0,0.0,,,,2.54,3.0074999999999994,96.22,0.0,2.0,0.0,0.0,0.0,4.5,75106.75,0.0,1.75,1.0,0.9622,1.0,1.0571,0.975,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8306,0.269,1.0509,0.0,1.0,0.0,0.0,0.0,1.0,1.0732,0.0,1.3333
37219dd65adebf813d20af03c21bb6f1aa5b72815d964a09428cb7539f7c0d35,640,-1.0,97.0,5000.0,32.0,62.0,2.0,0.0,1.0,0.0,0.0,0.0,,,,3.98,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3864.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
402fbc28b4e45700305662426152da47d12318bd935dd095765e650176d73a2d,1539,3283000.0,93.25,0.0,47.5,44.75,1.0,0.0,0.0,1.0,0.0,0.0,1.25,10.5,3.5,0.025,0.0875,99.9125,0.0,5.75,5.25,279.0,7.75,3.25,20335.0,2.0,2.0,1.0,1.0054,0.0,1.0,1.2099,1.0,0.0,0.0,1.0,0.0,0.0,1.5,0.68,0.0,1.0,0.8421,1.0002,0.0,0.7692,1.1,1.1017,0.9375,0.8571,1.0748,1.0,1.0
2046ca02ca56b39d29a4b423ec48542bee860cdce91e5f667288b8fcd8764ae4,811,-1.0,100.0,-1.0,41.25,48.0,3.0,0.0,1.5,0.0,0.0,0.0,,,,3.3,13.3575,52.5525,0.0,2.0,0.0,0.0,0.0,7.0,65864.0,0.0,1.25,1.0,1.0,1.0,0.9643,1.1099,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.4298,0.4385,0.0,1.0,0.0,0.0,0.0,0.8667,0.9939,0.0,0.6667
22ce6c52c3d8eb4a1766f015f80ff6324bed993d92dad8c3077eff0e5aec4c16,1658,3013.0,81.75,-1.0,23.25,109.0,1.0,0.0,0.25,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18490.0,0.0,0.5,1.0,0.9939,1.0,0.9787,0.9123,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0
24c890cd1e2291391d7969886a1dbf739ca217ff76f881829829116739328b58,861,-1.0,96.0,5000.0,57.0,35.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,9.72,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,304.0,0.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
0c59375188c78a4012defe8b67cc511dca18d4855fa1319eacc576c29e8011a3,1338,-1.0,87.5,5000.0,77.0,24.25,3.5,0.25,0.0,2.0,0.0,3.25,58.25,54.25,8.75,23.5125,0.115,99.885,0.0,16.5,10.5,35.5,3.5,5.0,871.5,1.5,1.25,1.0,1.0349,1.0,1.2985,0.7321,0.5556,0.0,0.0,1.0,0.0,1.1667,1.5889,1.1275,0.0294,0.9684,2.0667,0.9992,0.0,0.9412,1.1,0.2034,0.75,1.2222,0.2783,0.0,1.5
42be7c9859a5bda33729d80c999ab8907b11bcfba1d1a77ea9367a2d1e1e1e31,321,4700.0,95.0,4700.0,35.0,34.0,4.75,0.0,1.0,0.75,0.0,1.0,24.25,136.0,35.25,0.565,3.1625,95.405,0.0,1.75,1.5,67.25,4.0,3.25,44825.0,0.0,1.5,1.0,0.9895,1.0,1.1538,0.7895,3.75,0.0,1.0,2.0,0.0,1.0,1.7714,0.9223,1.2742,1.0,1.3958,0.9668,0.0,6.0,2.0,1.69,1.0,1.1667,1.1885,0.0,1.0
85f2c5de2b7cc09c3001adf23f3a3d2498872b043319245ff7281a2f2dacfc10,307,4953.5,100.0,4937.0,69.0,26.5,3.25,0.75,1.0,0.5,0.25,1.0,4.75,392.0,2.5,1.455,25.875,73.1425,0.0,17.0,2.5,903.75,39.75,6.25,87299.75,0.0,1.25,1.0004,1.0,1.0,0.9856,1.0784,0.8571,0.5,1.0,1.0,0.0,3.0,0.2667,1.145,0.4286,0.8418,51.0101,0.4823,0.0,1.1935,1.0,0.7028,0.6061,1.0833,1.0137,0.0,0.6667
670cc144ea2f861634f80a7961feae8ea8ca7c5edc9e5f9cfc1f3adf105f2963,816,-1.0,99.0,-1.0,61.0,12.0,8.0,8.0,1.0,0.0,0.0,0.0,,,,0.94,95.07,4.93,0.0,2.0,0.0,0.0,0.0,6.0,276.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
abb2536048bce811c12f010b6ccc432592e6ed6f6df788e6347faf6cb26c411f,271,-1.0,100.0,-1.0,101.75,15.5,3.25,0.0,1.25,0.0,0.0,0.0,,,,21.775,44.8925,52.365,0.0,2.0,0.0,0.0,0.0,9.75,17252.5,0.0,2.75,1.0,1.0,1.0,1.0149,0.9375,0.8571,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,1.1182,1.6734,0.6298,0.0,1.0,0.0,0.0,0.0,1.0526,1.7964,0.0,1.2
f13aef87cdc80eff0090b17c1a48a8979e8796f733cd6299416b280ef2d49b7b,559,-1.0,82.0,4000.0,82.0,22.0,5.0,1.0,1.0,3.0,0.0,0.0,,,,9.48,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,27390.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
877baad4ffb31f5a61e2b616eb029bc4cf4ff1f7990ed0c8b51eaf751258dc3a,1549,-1.0,95.25,4000.0,34.75,68.5,1.0,0.0,1.0,0.0,0.5,2.75,25.5,50.0,5.25,2.535,0.7024999999999999,99.2975,0.0,1.5,3.75,0.0,0.0,1.5,10074.25,0.0,2.75,1.0,0.9538,1.0,0.9041,1.1575,1.0,0.0,1.0,0.0,0.0,1.2,1.3182,1.0,0.6154,2.38,3.0143,0.9929,0.0,1.0,0.875,0.0,0.0,1.0,1.0071,0.0,0.2222
0bffb89bb2f59b99f8d7a43c41e7b87702a3f81120074cd6dd3ebd271a3a9023,964,-1.0,79.5,-1.0,60.5,32.75,3.25,0.0,0.0,2.25,0.0,0.0,,,,0.4075,0.4725,99.0975,0.0,2.0,0.0,0.0,0.0,5.5,11692.25,0.0,1.25,1.0,1.0255,1.0,0.936,1.0794,1.1667,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,1.0897,0.8713,0.9987,0.0,1.0,0.0,0.0,0.0,1.2,1.1642,0.0,0.6667
